date,us_credit,us_term,us_market,global_market,global_ex_us_market,europe_market,north_america_market,pacific_market,us_SMB,global_SMB,global_ex_us_SMB,europe_SMB,north_america_SMB,pacific_SMB,us_HML,global_HML,global_ex_us_HML,europe_HML,north_america_HML,pacific_HML,us_UMD,global_UMD,global_ex_us_UMD,europe_UMD,north_america_UMD,pacific_UMD,us_QMJ,global_QMJ,global_ex_us_QMJ,europe_QMJ,north_america_QMJ,pacific_QMJ,Commodity,EM,global_term,global_credit,US_10yr_yield,US_2yr_yield,fed_funds_rate,CBOE_VIX,dollar_index,SP500 Price,generic_wti_crude_oil
1/31/1926,0.0045 ,0.0104 ,(0.0034),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/1926,0.0033 ,0.0036 ,(0.0412),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/1926,0.0076 ,0.0011 ,(0.0605),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/30/1926,0.0082 ,0.0042 ,0.0219 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/1926,0.0041 ,0.0013 ,0.0178 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/1926,(0.0004),0.0003 ,0.0422 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/31/1926,0.0056 ,(0.0018),0.0457 ,,,,,,(0.0166),,,,,,(0.0272),,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/31/1926,0.0044 ,(0.0025),0.0223 ,,,,,,(0.0140),,,,,,0.0541 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/1926,0.0049 ,0.0015 ,0.0229 ,,,,,,(0.0120),,,,,,(0.0051),,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/1926,0.0077 ,0.0070 ,(0.0316),,,,,,0.0051 ,,,,,,0.0108 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/1926,0.0025 ,0.0129 ,0.0316 ,,,,,,(0.0124),,,,,,0.0021 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1926,0.0041 ,0.0050 ,0.0168 ,,,,,,(0.0084),,,,,,0.0111 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/31/1927,0.0041 ,0.0050 ,(0.0218),,,,,,(0.0069),,,,,,0.0517 ,,,,,,0.0267 ,,,,,,,,,,,,,,,,,,,,,,
2/28/1927,0.0052 ,0.0062 ,0.0511 ,,,,,,0.0035 ,,,,,,0.0274 ,,,,,,(0.0093),,,,,,,,,,,,,,,,,,,,,,
3/31/1927,0.0033 ,0.0223 ,0.0057 ,,,,,,(0.0104),,,,,,(0.0070),,,,,,0.0517 ,,,,,,,,,,,,,,,,,,,,,,
4/30/1927,0.0056 ,(0.0030),0.0176 ,,,,,,0.0091 ,,,,,,0.0059 ,,,,,,0.0306 ,,,,,,,,,,,,,,,,,,,,,,
5/31/1927,(0.0033),0.0079 ,0.0577 ,,,,,,0.0150 ,,,,,,0.0354 ,,,,,,0.0533 ,,,,,,,,,,,,,,,,,,,,,,
6/30/1927,0.0057 ,(0.0095),(0.0093),,,,,,0.0056 ,,,,,,(0.0073),,,,,,0.0065 ,,,,,,,,,,,,,,,,,,,,,,
7/31/1927,(0.0007),0.0020 ,0.0640 ,,,,,,(0.0281),,,,,,(0.0115),,,,,,0.0204 ,,,,,,,,,,,,,,,,,,,,,,
8/31/1927,0.0068 ,0.0048 ,0.0487 ,,,,,,(0.0075),,,,,,(0.0288),,,,,,0.0116 ,,,,,,,,,,,,,,,,,,,,,,
9/30/1927,0.0145 ,(0.0003),0.0429 ,,,,,,(0.0298),,,,,,(0.0273),,,,,,0.0100 ,,,,,,,,,,,,,,,,,,,,,,
